Point to generaate
50
Take number
7
Type of simulatio
Point simulation without limits
Begin time
2020-08-01 10:22:43
y	x
0.7	1
m	q
-0.140188	0.840188
0.305617	0.394383
-0.0830992	0.783099
-0.0984401	0.79844
-0.211647	0.911647
0.502449	0.197551
0.364777	0.335223
-0.0682296	0.76823
0.422225	0.277775
0.14603	0.55397
0.222603	0.477397
0.0711291	0.628871
0.335216	0.364784
0.186599	0.513401
-0.25223	0.95223
-0.216195	0.916195
0.0642883	0.635712
-0.017297	0.717297
0.558397	0.141603
0.0930311	0.606969
0.683699	0.0163006
0.457113	0.242887
0.562768	0.137232
-0.104177	0.804177
0.543321	0.156679
0.299056	0.400944
0.57021	0.12979
0.591191	0.108809
-0.298925	0.998924
0.481743	0.218257
0.187068	0.512932
-0.139112	0.839112
0.0873601	0.61264
0.403968	0.296032
0.0624477	0.637552
0.175713	0.524287
0.206417	0.493583
-0.272775	0.972775
0.407483	0.292517
-0.0713577	0.771358
0.173255	0.526745
-0.0699139	0.769914
0.299771	0.400229
-0.191529	0.891529
0.416685	0.283315
0.347542	0.352458
-0.107725	0.807725
-0.219027	0.919026
0.630245	0.0697553
-0.249327	0.949327
Number of m and q generated
50
